date,OPEN,HIGH,LOW,CLOSE,VOLUME,dividend,event_type,description
2023-02-16,157.33,159.3,156.25,158.22,68549280,10824261902.6,,
2023-02-17,158.0,160.38,156.91,159.73,52179940,8295150283.0,,
2023-02-20,159.41,161.3,156.73,160.09,63971610,10151613700.1,,
2023-02-21,160.66,165.65,159.26,164.15,127422480,20810057510.7,,
2023-02-22,164.13,164.42,162.5,163.37,43772430,7150966488.1,,
2023-02-24,163.33,165.5,163.1,164.3,37727230,6199625787.6,,
2023-02-27,163.52,170.0,162.96,169.95,100133280,16780738615.2,,
2023-02-28,170.5,171.92,168.37,169.82,80748140,13727277947.9,,
2023-03-01,170.4,171.66,169.5,170.53,53784730,9167860118.1,,
2023-03-02,170.4,170.4,166.55,168.05,86095640,14517746431.3,,
2023-03-03,168.17,171.26,167.9,171.16,49566770,8415476818.0,,
2023-03-06,172.14,172.99,171.35,171.84,64585290,11111583412.4,,
2023-03-07,171.87,174.2,171.0,174.01,55287380,9555925415.8,,
2023-03-09,174.85,174.89,172.21,172.55,80393110,13943157257.4,,
2023-03-10,171.55,173.0,170.58,172.53,50256970,8636905460.0,,
2023-03-13,172.5,173.9,169.26,172.15,74032280,12709525433.5,,
2023-03-14,171.61,176.95,171.01,175.71,89325670,15601317280.3,,
2023-03-15,176.0,177.37,173.59,175.3,79930290,14010359713.1,,
2023-03-16,174.94,176.04,173.36,175.45,51534160,8999771334.6,,
2023-03-17,183.0,193.66,178.56,193.59,388164850,72487640689.1,,
2023-03-20,196.02,205.09,195.0,203.73,156714250,31309861829.0,,
2023-03-21,204.76,208.0,201.25,203.32,122583960,25112540900.7,,
2023-03-22,203.4,204.4,201.59,202.89,57568140,11679333494.7,,
2023-03-23,202.53,204.2,202.22,202.58,26650230,5415399866.5,,
2023-03-24,202.86,203.85,202.0,203.57,24325540,4939230840.9,,
2023-03-27,204.01,213.2,204.01,211.84,101521380,21191264384.4,,
2023-03-28,212.86,214.7,210.67,214.03,73901050,15726501741.8,,
2023-03-29,214.85,219.53,213.6,217.99,96682530,20980171180.8,,
2023-03-30,217.3,218.45,216.12,216.87,40886950,8884287057.7,,
2023-03-31,217.2,217.35,211.3,216.6,88081360,18878992953.8,,
2023-04-03,218.45,219.44,214.8,216.09,55175630,11951820883.8,,
2023-04-04,216.2,217.29,213.8,214.83,45803380,9882799399.6,,
2023-04-05,214.65,216.3,211.4,216.15,46177490,9891663991.7,,
2023-04-06,216.3,217.38,214.07,214.25,39061450,8425126719.9,,
2023-04-07,214.5,216.39,213.65,216.27,29198130,6286417581.4,,
2023-04-10,217.1,222.26,216.61,222.21,85196000,18737869518.4,,
2023-04-11,222.9,223.33,217.62,218.6,98538370,21743759463.1,,
2023-04-12,218.6,219.7,216.67,219.22,44767540,9773616806.2,,
2023-04-13,219.49,220.89,218.0,219.85,32672160,7159179734.3,,
2023-04-14,220.0,222.5,218.51,221.87,43316040,9554306584.3,,
2023-04-17,222.98,228.2,222.91,228.1,78797270,17756638468.9,,
2023-04-18,227.89,232.76,227.05,232.66,97770120,22454901978.8,,
2023-04-19,232.67,237.37,231.1,232.95,115713300,27097765520.1,,
2023-04-20,233.32,236.47,229.84,236.28,85093750,19879696925.7,,
2023-04-21,237.4,238.85,233.52,235.17,115905760,27370731655.4,,
2023-04-24,235.07,236.4,234.1,235.1,30536770,7185358111.2,,
2023-04-25,235.13,235.82,234.21,235.3,32187450,7565048264.5,,
2023-04-26,235.6,235.95,234.91,235.21,24430320,5751047264.4,,
2023-04-27,235.59,240.74,235.13,240.38,68311610,16307607839.2,,
